Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,Mon,2021-06-28,22:00 ,France fr,(4) 3–3 (5),ch Switzerland,"22,642",Arena Naţională (Neutral Site),Fernando Rapallini,Match Report,Switzerland won on penalty kicks following extra time
,Tue,2021-06-29,17:00 ,England eng,2–0,de Germany,"41,973",Wembley Stadium (Neutral Site),Danny Makkelie,Match Report,
,Tue,2021-06-29,20:00 ,Sweden se,1–2,ua Ukraine,"9,221",Hampden Park (Neutral Site),Daniele Orsato,Match Report,Required Extra Time
,Fri,2021-07-02,19:00 ,Switzerland ch,(1) 1–1 (3),es Spain,"24,764",Gazprom Arena,Michael Oliver,Match Report,Spain won on penalty kicks following extra time
,Fri,2021-07-02,21:00 ,Belgium be,1–2,it Italy,"12,984",Allianz Arena,Slavko Vinčič,Match Report,
,Sat,2021-07-03,20:00 ,Czechia cz,1–2,dk Denmark,"16,306",Bakı Olimpiya Stadionu,Björn Kuipers,Match Report,
,Sat,2021-07-03,21:00 ,Ukraine ua,0–4,eng England,"11,880",Stadio Olimpico,Felix Brych,Match Report,
,Tue,2021-07-06,20:00 ,Italy it,(4) 1–1 (2),es Spain,"57,811",Wembley Stadium,Felix Brych,Match Report,Italy won on penalty kicks following extra time
,Wed,2021-07-07,20:00 ,England eng,2–1,dk Denmark,"64,950",Wembley Stadium,Danny Makkelie,Match Report,Required Extra Time
,Sun,2021-07-11,20:00 ,Italy it,(3) 1–1 (2),eng England,"67,173",Wembley Stadium (Neutral Site),Björn Kuipers,Match Report,
1,Fri,2016-06-10,21:00 ,France fr,2–1,ro Romania,"75,113",Stade de France,Viktor Kassai,Match Report,
1,Sat,2016-06-11,15:00 ,Albania al,0–1,ch Switzerland,"33,805",Stade Bollaert-Delelis (Neutral Site),Carlos Velasco,Match Report,
1,Sat,2016-06-11,18:00 ,Wales wls,2–1,sk Slovakia,"37,831",Stade Matmut-Atlantique (Neutral Site),Svein Oddvar Moen,Match Report,
1,Sat,2016-06-11,21:00 ,England eng,1–1,ru Russia,"62,343",Orange Vélodrome (Neutral Site),Nicola Rizzoli,Match Report,
1,Sun,2016-06-12,15:00 ,Türkiye tr,0–1,hr Croatia,"43,842",Parc des Princes (Neutral Site),Jonas Eriksson,Match Report,
